oneway,fclass,miles,startlon,startlat,endlon,endlat
B,residential,1.4761044843,-97.6527289998,30.0617800003,-97.6347170002,30.0506279996
B,residential,0.06402951879,-97.6515460001,30.0512870003,-97.652148,30.050519
B,residential,0.09425129658,-97.6508549998,30.055123,-97.6520469999,30.0542559996
B,residential,0.12533839339,-97.6425699999,30.0620680001,-97.6441350001,30.0608990002
B,residential,0.36743973815,-97.6528989996,30.0708830002,-97.6580509998,30.0679889998
B,residential,2.04320296748,-97.637462,30.0308349996,-97.6615880001,30.0194839996
B,residential,0.54470287886,-97.6610440002,30.0369229998,-97.6548159999,30.0319059996
B,residential,0.8627716442,-97.6730601001,30.0450298997,-97.6731135999,30.0466825002
B,residential,0.11903578507,-97.6784869997,30.0458220001,-97.6768149999,30.0448890002
B,residential,0.27682931325,-97.6748819998,30.0433090002,-97.6784869997,30.0458220001
B,residential,0.28055003728,-97.6822729998,30.0405899998,-97.6855269997,30.0376619997
B,residential,0.15455512039,-97.6610830002,30.0353740003,-97.6620050004,30.0337710001
B,residential,0.00668225003,-97.6666869996,30.0630630002,-97.6666109997,30.0631339998
B,residential,1.746732984,-97.6429389998,30.0480219999,-97.6636180002,30.0656839996
B,residential,1.35616358399,-97.6227559999,30.0455239998,-97.637462,30.0308349996
B,residential,0.09656283149,-97.6473380003,30.0644910004,-97.6463210002,30.0655299997
B,residential,0.71312872923,-97.6474500001,30.0666649999,-97.655599,30.0591260003
B,residential,0.44952285565,-97.6438060002,30.0543300003,-97.6378039996,30.0581710003
B,residential,0.12884292205,-97.6617969998,30.0642469999,-97.6633460002,30.0634429997
B,residential,3.71067721302,-97.7621519998,30.041237,-97.8044168004,30.0608570999
B,residential,0.16676406132,-97.8388164002,30.0830321998,-97.8361971004,30.0838254
B,service,0.21716641822,-97.8275759996,30.0790439997,-97.8256862003,30.0795523999
B,residential,0.08844764142,-97.8266847004,30.0746743,-97.8278499997,30.0751409996
B,service,0.42535947311,-97.9536880003,30.0401559996,-97.9497019999,30.0441870002
B,service,0.99316079134,-97.9418542999,30.0368037002,-97.9358080004,30.0488290003
B,service,0.11669322193,-97.8853490001,30.0415570004,-97.8862619999,30.0425179997
B,residential,0.44841469147,-97.8447325003,30.0457815998,-97.8522146996,30.0458636
B,service,0.19989404387,-97.8035450003,30.0510110002,-97.8005839996,30.0498040003
B,service,0.56615207886,-97.7917850003,30.0534920004,-97.7928459997,30.0611970004
B,residential,0.12545129862,-97.7580369998,30.0393409998,-97.7593839999,30.0379480003
B,service,0.10403622767,-97.8036299997,30.0551460002,-97.8053659997,30.0551710004
B,service,0.10410473964,-97.8035559999,30.0516299999,-97.805293,30.0516590004
B,service,0.06993906063,-97.8301569999,30.0771139997,-97.8301879996,30.0760989997
